,Release Date,Time,Actual,Forecast,Previous
0,2024-01-29,02:45:00,,,3.1%
1,2024-01-16,02:45:00,3.1%,3.1%,3.7%
2,2023-12-31,02:45  ,3.1%,,3.7%
3,2023-12-12,02:45:00,3.7%,3.7%,3.5%
4,2023-12-04,02:45  ,3.7%,3.8%,3.5%
5,2023-11-15,02:45:00,3.5%,3.4%,4.0%
6,2023-10-30,02:45  ,3.4%,,4.0%
7,2023-10-15,02:45:00,4.0%,4.0%,4.9%
8,2023-09-30,02:45  ,4.0%,4.0%,4.9%
9,2023-09-13,01:45:00,4.9%,4.9%,4.9%
10,2023-08-29,01:45  ,4.9%,5.1%,4.9%
11,2023-08-15,01:45:00,4.9%,4.8%,4.3%
12,2023-07-31,01:45  ,4.8%,4.6%,4.3%
13,2023-07-11,01:45:00,4.3%,4.3%,4.5%
14,2023-06-28,01:45  ,4.3%,4.3%,4.5%
15,2023-06-13,01:45:00,4.5%,4.5%,5.1%
16,2023-05-30,01:45  ,4.5%,4.6%,5.1%
17,2023-05-15,01:45:00,5.1%,5.1%,5.9%
18,2023-04-30,01:45  ,5.1%,5.7%,5.9%
19,2023-04-12,01:45:00,5.9%,5.9%,5.7%
20,2023-03-28,01:45  ,5.9%,5.7%,5.7%
21,2023-03-14,01:45:00,5.7%,5.6%,6.3%
22,2023-02-28,01:45  ,5.6%,5.5%,6.3%
23,2023-02-15,02:45:00,6.3%,6.2%,6.0%
24,2023-01-28,02:45  ,6.2%,6.1%,6.0%
25,2023-01-17,02:45:00,6.0%,6.0%,5.9%
26,2022-12-31,02:45  ,6.0%,6.1%,5.9%
27,2022-12-13,02:45:00,5.9%,5.9%,6.2%
28,2022-12-04,02:45  ,5.9%,6.4%,6.2%
29,2022-11-15,02:45:00,6.2%,6.2%,6.2%
30,2022-10-30,02:45  ,6.2%,6.2%,6.2%
31,2022-10-15,02:45:00,6.2%,7.1%,5.6%
32,2022-09-28,01:45  ,6.2%,5.7%,5.6%
33,2022-09-14,01:45:00,5.6%,5.6%,5.9%
34,2022-08-30,01:45  ,5.6%,5.9%,5.9%
35,2022-08-15,01:45:00,5.9%,5.8%,5.8%
36,2022-07-31,01:45  ,5.8%,6.1%,6.1%
37,2022-07-12,01:45:00,6.1%,6.1%,5.8%
38,2022-06-29,01:45  ,6.1%,6.0%,5.8%
39,2022-06-13,01:45:00,5.8%,6.5%,5.2%
40,2022-05-30,01:45  ,5.8%,5.7%,5.2%
41,2022-05-15,01:45:00,5.2%,5.2%,4.8%
42,2022-04-30,01:45  ,5.2%,5.0%,4.8%
43,2022-04-13,01:45:00,4.8%,4.8%,4.5%
44,2022-03-29,01:45  ,4.8%,4.5%,4.5%
45,2022-03-15,01:45:00,4.5%,4.5%,3.6%
46,2022-02-28,01:45  ,4.5%,4.3%,3.6%
47,2022-02-15,02:45:00,3.6%,3.6%,2.9%
48,2022-01-25,02:45  ,3.6%,3.2%,2.9%
49,2022-01-18,02:45:00,2.9%,2.9%,2.8%
50,2022-01-01,02:45  ,2.9%,2.4%,2.8%
51,2021-12-14,02:45:00,2.8%,2.8%,2.8%
52,2021-12-04,02:45  ,2.8%,2.8%,2.8%
53,2021-11-15,02:45:00,2.8%,2.8%,2.6%
54,2021-10-30,02:45  ,2.8%,,2.6%
55,2021-10-16,02:45:00,2.6%,2.6%,2.2%
56,2021-09-29,01:45  ,2.6%,,2.2%
57,2021-09-15,01:45:00,2.2%,2.1%,1.9%
58,2021-08-30,01:45  ,2.1%,2.2%,1.9%
59,2021-08-15,01:45:00,1.9%,1.9%,1.2%
60,2021-07-31,01:45  ,1.9%,,1.2%
61,2021-07-13,01:45:00,1.2%,,1.5%
62,2021-06-30,01:45  ,1.2%,1.0%,1.5%
63,2021-06-13,01:45:00,1.5%,1.5%,1.4%
64,2021-05-30,01:45  ,1.5%,,1.4%
65,2021-05-15,01:45:00,1.4%,1.4%,1.2%
66,2021-04-28,01:45  ,1.4%,,1.2%
67,2021-04-12,01:45:00,1.2%,1.3%,1.1%
68,2021-03-30,01:45  ,1.3%,1.3%,1.1%
69,2021-03-15,01:45:00,1.1%,1.1%,0.6%
70,2021-02-28,01:45  ,1.1%,,0.6%
71,2021-02-16,02:45:00,0.6%,0.4%,0.6%
72,2021-01-26,02:45  ,0.4%,,0.6%
73,2021-01-19,02:45:00,0.6%,0.6%,0.0%
74,2021-01-02,02:45  ,0.6%,0.4%,0.0%
75,2020-12-15,02:45:00,0.0%,0.0%,0.2%
76,2020-12-06,02:45  ,0.0%,0.2%,0.2%
77,2020-11-15,02:45:00,0.2%,0.2%,0.0%
78,2020-10-27,02:45  ,0.2%,0.1%,0.0%
79,2020-10-13,02:45:00,0.0%,0.0%,0.0%
80,2020-09-30,02:45  ,0.0%,,0.0%
81,2020-09-15,01:45:00,0.0%,0.1%,0.2%
82,2020-08-30,01:45  ,0.1%,,0.2%
83,2020-08-15,01:45:00,0.2%,0.2%,0.8%
84,2020-07-28,01:45  ,0.2%,,0.8%
85,2020-07-14,01:45:00,0.8%,0.8%,0.2%
86,2020-06-30,01:45  ,0.8%,0.3%,0.2%
87,2020-06-16,01:45:00,0.2%,0.1%,0.4%
88,2020-05-30,01:45  ,0.1%,,0.4%
89,2020-05-12,01:45:00,0.4%,0.2%,0.3%
90,2020-04-29,01:45  ,0.2%,,0.3%
91,2020-04-15,01:45:00,0.3%,0.4%,0.7%
92,2020-03-30,01:45  ,0.4%,,0.7%
93,2020-03-15,01:45:00,0.7%,0.6%,1.4%
94,2020-02-29,01:45  ,0.6%,1.1%,1.4%
95,2020-02-13,02:45:00,1.4%,1.4%,1.5%
96,2020-01-28,02:45  ,1.4%,1.5%,1.5%
97,2020-01-20,02:45:00,1.5%,1.5%,1.5%
